,id,product_uid,relevance,len_of_query,word_in_title,word_in_description
149,500,100078,2.67,3,2,2
150,501,100079,1.67,2,1,1
151,508,100081,2.33,9,4,2
152,511,100081,2.33,3,1,1
153,516,100082,3.0,2,2,2
154,517,100083,1.33,2,0,0
155,524,100086,2.0,3,2,2
156,533,100086,3.0,2,1,1
157,536,100087,2.0,3,1,2
158,542,100088,2.0,4,3,0
159,544,100089,3.0,1,1,1
160,549,100090,3.0,3,1,2
161,551,100090,3.0,3,2,2
162,557,100090,2.67,3,0,2
163,559,100090,2.33,3,0,2
164,562,100090,2.33,3,3,3
165,563,100090,2.67,4,2,3
166,568,100092,2.33,3,1,2
167,571,100092,1.67,2,1,2
168,572,100092,2.67,3,1,3
169,573,100092,2.67,1,0,0
170,576,100092,2.67,2,2,2
171,581,100093,3.0,3,3,3
172,582,100093,3.0,4,3,3
173,583,100093,2.67,4,3,3
174,584,100093,3.0,3,3,3
175,585,100094,3.0,3,2,2
176,591,100094,2.33,3,1,1
177,593,100094,1.33,4,3,3
178,595,100095,2.0,2,1,1
179,600,100095,3.0,3,3,3
180,605,100096,2.0,4,1,2
181,606,100096,2.67,3,1,1
182,611,100096,2.67,2,1,2
183,619,100097,2.33,6,4,5
184,626,100098,1.33,5,3,3
185,630,100100,3.0,2,2,2
186,634,100101,1.67,4,2,1
187,635,100101,3.0,2,2,2
188,636,100102,2.67,5,3,4
189,637,100102,2.0,3,2,1
190,640,100104,1.67,4,2,2
191,642,100104,2.33,5,5,4
192,643,100104,3.0,1,1,1
193,644,100105,2.67,3,2,2
194,646,100105,2.67,3,2,2
195,652,100105,2.33,6,3,4
196,653,100106,1.25,1,0,0
197,659,100108,2.33,1,0,0
198,660,100109,3.0,2,2,0
199,661,100109,3.0,2,2,1
200,662,100110,2.33,4,3,3
201,663,100110,2.67,2,2,2
202,666,100110,2.67,3,3,3
203,668,100110,2.67,2,1,2
204,669,100110,2.0,2,1,2
205,670,100111,3.0,3,2,2
206,671,100111,1.67,3,2,2
207,674,100112,2.0,4,2,4
208,677,100113,2.67,3,0,2
209,679,100114,3.0,2,2,2
210,680,100115,3.0,7,5,6
211,682,100115,2.0,2,1,2
212,686,100116,3.0,4,2,3
213,687,100116,3.0,3,2,2
214,688,100117,2.0,2,1,1
215,690,100118,2.67,2,1,1
216,691,100119,2.67,4,4,3
217,696,100119,1.0,3,1,1
218,700,100120,3.0,2,1,1
219,712,100124,3.0,2,2,2
220,713,100125,3.0,3,3,3
221,715,100125,2.33,3,3,3
222,718,100125,3.0,3,2,3
223,722,100125,2.33,4,2,2
224,726,100126,2.67,3,3,3
225,731,100127,2.33,2,2,2
226,734,100128,1.0,3,0,0
227,737,100128,3.0,1,0,0
228,739,100128,2.67,2,1,2
229,740,100128,2.67,2,1,1
230,742,100129,1.0,2,1,2
231,743,100129,3.0,1,1,1
232,745,100130,3.0,2,1,1
233,748,100131,1.67,3,2,3
234,749,100131,1.67,2,0,1
235,751,100131,2.0,3,1,2
236,753,100131,1.67,2,0,0
237,756,100132,3.0,1,1,1
238,758,100133,2.33,2,1,1
239,759,100133,3.0,2,0,0
240,760,100133,3.0,2,0,1
241,763,100134,2.67,4,2,3
242,764,100134,1.0,2,0,0
243,765,100134,1.67,2,0,1
244,771,100134,2.33,4,1,1
245,773,100134,1.33,5,0,0
246,778,100135,2.0,4,2,2
247,784,100138,3.0,3,3,3
248,787,100138,3.0,3,2,2
249,790,100138,1.67,2,1,1
250,791,100138,1.67,3,2,2
251,800,100138,3.0,2,2,2
252,801,100138,1.67,3,1,1
253,811,100140,2.33,3,0,1
254,812,100140,3.0,1,0,0
255,817,100141,2.0,1,0,0
256,818,100141,2.67,1,1,1
257,819,100141,1.67,2,1,1
258,824,100141,3.0,2,2,2
259,826,100141,3.0,2,2,1
260,828,100143,2.33,4,3,3
261,831,100143,3.0,3,3,3
262,832,100143,3.0,2,2,2
263,837,100143,3.0,4,3,3
264,843,100144,2.75,3,2,3
265,844,100144,2.0,3,1,2
266,847,100145,2.0,3,1,1
267,852,100146,2.0,4,3,2
268,857,100146,3.0,5,5,4
269,862,100148,3.0,3,3,3
270,867,100149,1.0,3,1,1
271,868,100149,1.67,3,2,2
272,869,100149,2.0,4,2,3
273,872,100149,2.0,8,4,4
274,876,100149,2.0,2,1,1
275,878,100149,2.33,4,2,2
276,881,100149,2.0,3,2,2
277,882,100149,2.0,4,2,2
278,885,100149,2.67,2,2,2
279,886,100149,1.67,6,0,2
280,893,100150,2.33,3,2,2
281,894,100150,3.0,2,0,0
282,895,100150,2.67,4,0,1
283,898,100150,2.33,1,1,1
284,899,100150,2.0,5,3,5
285,902,100151,3.0,3,1,3
286,908,100152,3.0,3,3,3
287,909,100152,2.0,3,2,2
288,910,100152,2.0,4,2,4
289,912,100152,1.0,3,0,0
290,918,100152,1.0,2,0,2
291,922,100153,2.67,2,2,2
292,923,100153,3.0,4,4,3
293,928,100153,2.0,2,0,0
294,929,100154,1.33,3,2,2
295,934,100154,2.67,3,2,2
296,940,100155,3.0,4,3,3
297,944,100157,3.0,2,0,0
298,954,100158,2.67,5,4,2
299,958,100158,3.0,3,3,2
300,962,100158,3.0,2,1,1
301,963,100158,2.33,3,1,0
302,969,100160,3.0,3,3,3
303,974,100161,2.33,1,0,0
304,978,100161,2.33,2,1,1
305,984,100163,2.0,3,2,2
306,991,100165,2.67,2,2,2
307,1000,100165,3.0,2,1,1
308,1001,100166,1.0,1,0,0
309,1004,100166,2.67,2,2,2
310,1007,100167,3.0,2,2,2
311,1008,100167,3.0,3,2,2
312,1019,100170,1.0,2,1,1
313,1020,100170,2.67,3,3,3
314,1022,100170,1.67,3,2,3
315,1026,100170,2.33,3,1,2
316,1028,100171,1.33,1,0,1
317,1031,100172,2.67,2,1,1
318,1038,100173,3.0,3,2,3
319,1040,100174,1.67,2,0,0
320,1051,100176,3.0,2,2,2
321,1053,100177,3.0,3,3,3
322,1056,100178,2.33,1,0,0
323,1060,100179,2.67,3,3,3
324,1062,100179,3.0,3,3,3
325,1065,100180,3.0,4,2,2
326,1068,100180,2.33,3,2,2
327,1072,100181,2.0,2,1,1
328,1073,100181,3.0,2,1,2
329,1074,100181,2.0,3,3,2
330,1076,100182,3.0,1,1,1
331,1080,100184,2.0,1,0,0
332,1081,100184,2.67,1,1,1
333,1083,100184,1.67,3,2,2
334,1084,100184,2.33,1,0,1
335,1086,100184,2.33,7,1,3
336,1090,100185,2.67,2,1,1
337,1095,100188,2.67,2,0,0
338,1097,100189,2.33,3,1,1
339,1098,100189,2.33,2,1,1
340,1101,100189,1.67,2,0,0
341,1103,100189,2.67,4,3,3
342,1104,100189,1.33,3,0,1
343,1107,100189,3.0,2,1,2
344,1108,100189,1.33,3,0,0
345,1116,100191,3.0,2,2,2
346,1121,100193,3.0,5,5,5
347,1128,100193,3.0,2,2,1
348,1129,100193,3.0,2,2,1
349,1132,100193,2.33,4,2,2
350,1134,100193,3.0,6,3,5
351,1135,100193,2.0,3,2,2
352,1138,100194,1.67,3,1,1
353,1142,100194,3.0,2,1,1
354,1145,100194,2.0,3,2,2
355,1146,100194,2.67,3,2,3
356,1148,100194,1.67,2,1,1
357,1151,100194,3.0,3,3,3
358,1155,100195,3.0,2,1,1
359,1159,100196,2.0,4,3,4
360,1164,100196,3.0,2,1,1
361,1165,100197,1.33,1,0,0
362,1168,100197,2.67,3,2,2
363,1171,100197,1.67,4,2,2
364,1172,100197,2.33,1,1,1
365,1176,100197,2.0,4,1,2
366,1177,100197,2.33,3,2,2
367,1180,100200,2.0,1,0,0
368,1185,100201,3.0,1,1,1
369,1191,100203,2.33,2,2,2
370,1192,100203,2.67,3,2,2
371,1195,100203,3.0,2,1,1
372,1196,100203,3.0,2,2,2
373,1205,100208,1.67,2,0,1
374,1206,100208,1.33,1,0,1
375,1208,100209,2.67,5,1,3
376,1212,100209,3.0,2,1,1
377,1215,100209,2.33,1,0,0
378,1216,100209,3.0,3,0,2
379,1218,100210,2.33,2,1,1
380,1220,100210,1.75,3,0,0
381,1224,100211,3.0,2,2,2
382,1227,100212,2.33,2,0,2
383,1228,100213,2.33,3,1,2
384,1230,100213,2.33,3,2,1
385,1231,100213,2.67,2,2,1
386,1237,100216,3.0,2,2,2
387,1238,100216,2.33,3,2,3
388,1243,100217,3.0,3,3,3
389,1248,100218,2.33,3,2,2
390,1252,100218,3.0,2,2,2
391,1253,100218,2.0,4,2,2
392,1257,100218,3.0,1,0,0
393,1266,100221,2.33,1,0,0
394,1267,100222,3.0,1,1,0
395,1273,100224,2.67,2,1,1
396,1275,100224,3.0,3,2,2
397,1276,100224,3.0,3,3,3
398,1279,100225,2.67,2,1,1
399,1287,100227,2.67,2,1,2
400,1289,100227,2.67,3,2,2
401,1291,100227,2.0,3,0,2
402,1296,100228,1.67,1,1,1
403,1300,100229,2.67,1,0,0
404,1302,100229,3.0,2,1,1
405,1303,100230,2.67,1,1,1
406,1316,100232,1.0,2,0,1
407,1317,100232,2.33,3,1,2
408,1320,100232,2.67,3,3,3
409,1323,100233,2.75,1,0,0
410,1326,100235,2.67,2,1,2
411,1335,100237,2.67,2,1,2
412,1338,100237,2.0,3,2,2
413,1340,100237,3.0,2,1,1
414,1344,100239,1.67,3,1,2
415,1345,100239,2.0,3,1,2
416,1347,100239,2.67,3,1,1
417,1348,100239,2.67,2,0,1
418,1349,100239,2.67,4,2,2
419,1355,100241,1.67,2,0,1
420,1356,100241,3.0,3,1,2
421,1357,100241,3.0,4,3,0
422,1359,100242,1.67,2,1,2
423,1364,100245,1.67,3,2,3
424,1366,100246,2.33,3,2,2
425,1377,100248,1.33,2,1,1
426,1387,100248,1.67,2,0,0
427,1388,100248,1.0,3,1,2
428,1394,100249,2.33,1,0,0
429,1395,100249,1.67,3,1,2
430,1397,100249,3.0,3,1,3
431,1399,100249,2.67,6,4,6
432,1401,100249,3.0,3,3,3
433,1403,100249,2.33,6,2,4
434,1405,100250,3.0,3,3,3
435,1408,100251,3.0,4,1,2
436,1414,100252,2.67,1,1,1
437,1419,100253,3.0,2,2,2
438,1422,100254,2.0,3,2,2
439,1427,100255,3.0,3,3,3
440,1431,100256,1.33,2,2,1
441,1433,100256,2.33,4,2,2
442,1434,100256,2.67,2,2,2
443,1436,100256,1.33,3,0,1
444,1439,100257,2.67,1,0,0
445,1443,100257,2.0,2,2,2
446,1444,100257,2.33,2,0,0
447,1449,100259,2.0,2,1,1
448,1453,100259,1.33,3,1,2
449,1454,100259,1.33,2,1,2
450,1458,100260,2.67,2,2,2
451,1468,100263,3.0,2,2,1
452,1471,100263,2.67,3,2,2
453,1472,100263,1.0,1,0,0
454,1473,100263,1.33,2,0,0
455,1479,100264,2.0,2,0,1
456,1481,100264,2.67,5,3,5
457,1483,100264,3.0,2,1,1
458,1486,100264,1.33,3,1,2
459,1487,100264,2.0,3,2,2
460,1490,100264,2.67,4,2,3
461,1491,100264,2.0,5,3,3
462,1492,100264,2.33,3,1,1
463,1496,100264,2.33,2,1,2
464,1497,100264,2.0,3,1,3
465,1501,100264,2.33,5,1,1
466,1504,100265,2.33,1,0,0
467,1506,100265,1.33,3,1,2
468,1509,100265,2.67,2,0,0
469,1512,100265,3.0,3,1,2
470,1528,100267,2.0,3,1,3
471,1538,100269,2.67,2,2,1
472,1542,100270,2.67,3,1,1
473,1546,100270,3.0,2,2,2
474,1548,100272,2.0,3,1,2
475,1554,100272,2.67,4,2,0
476,1560,100272,2.67,4,2,1
477,1561,100272,2.33,4,3,3
478,1562,100272,2.0,4,2,2
479,1568,100272,2.33,3,3,2
480,1569,100272,2.67,5,4,4
481,1571,100272,2.33,2,1,1
482,1572,100273,3.0,3,2,2
483,1576,100274,3.0,2,1,1
484,1577,100274,1.67,2,2,2
485,1578,100274,1.67,4,2,3
486,1587,100277,1.33,2,1,2
487,1588,100277,2.67,2,0,2
488,1593,100279,1.33,2,1,2
489,1595,100280,3.0,2,2,2
490,1609,100282,1.0,2,0,0
491,1610,100282,2.67,4,1,2
492,1612,100282,1.67,5,0,2
493,1616,100282,1.0,1,0,0
494,1617,100282,2.0,2,1,1
495,1622,100283,2.67,2,2,1
496,1624,100283,2.67,7,4,4
497,1627,100284,2.67,2,1,1
498,1633,100285,1.67,2,0,1
499,1634,100285,1.33,3,1,3
500,1637,100286,3.0,2,2,2
501,1640,100286,2.67,2,2,1
502,1643,100286,3.0,3,3,3
503,1645,100287,2.33,4,3,3
504,1647,100287,1.33,4,1,1
505,1648,100287,1.33,3,1,1
506,1653,100288,1.33,2,0,0
507,1654,100289,2.0,3,0,0
508,1655,100289,2.67,5,5,4
509,1656,100289,2.0,6,2,2
510,1657,100289,3.0,3,2,2
511,1661,100290,2.67,3,3,3
512,1664,100292,2.33,5,2,1
513,1667,100292,1.0,4,0,2
514,1669,100293,3.0,1,1,1
515,1670,100294,2.33,3,1,2
516,1671,100294,2.0,3,1,1
517,1672,100294,2.0,3,1,1
518,1673,100294,2.0,2,1,1
519,1675,100294,2.33,3,3,2
520,1677,100294,2.0,4,3,3
521,1681,100295,3.0,2,0,0
522,1691,100297,2.0,3,2,2
523,1692,100297,2.67,2,2,2
524,1696,100297,2.67,5,3,0
525,1702,100299,3.0,2,1,1
526,1703,100299,3.0,2,1,1
527,1704,100299,3.0,2,2,1
528,1705,100299,2.33,3,2,1
529,1713,100299,3.0,3,2,1
530,1715,100299,2.33,4,3,3
531,1721,100302,1.33,1,1,1
532,1722,100303,2.67,2,0,1
533,1724,100304,2.0,4,2,2
534,1726,100304,1.67,2,2,2
535,1731,100306,2.33,2,1,1
536,1733,100306,2.33,4,2,3
537,1738,100306,3.0,1,1,1
538,1740,100306,2.0,3,0,1
539,1741,100306,2.67,2,2,2
540,1742,100306,2.67,2,1,2
541,1746,100307,3.0,6,4,5
542,1749,100307,2.0,5,2,3
543,1753,100307,2.33,3,1,3
544,1762,100307,2.33,2,1,1
545,1765,100308,1.33,4,2,2
546,1771,100310,2.67,2,2,2
547,1774,100311,3.0,3,3,2
548,1777,100312,3.0,2,1,1
549,1779,100313,2.33,2,0,1
550,1780,100313,2.67,2,1,2
551,1782,100313,1.67,4,0,2
552,1784,100314,3.0,2,2,2
553,1785,100314,2.67,3,2,2
554,1786,100315,2.0,3,1,1
555,1790,100315,3.0,3,2,3
556,1797,100316,2.0,4,4,4
557,1804,100317,3.0,4,3,3
558,1805,100317,3.0,5,2,3
559,1811,100320,2.33,8,6,6
560,1815,100320,1.67,6,3,4
561,1816,100320,2.0,3,2,2
562,1818,100320,3.0,2,1,1
563,1821,100321,3.0,2,1,1
564,1824,100321,2.33,3,3,3
565,1829,100322,3.0,2,1,1
566,1830,100323,2.67,4,3,1
567,1835,100323,3.0,2,2,0
568,1841,100326,2.0,3,2,1
569,1844,100326,3.0,2,2,2
570,1845,100326,2.67,4,2,0
571,1846,100326,2.0,4,2,2
572,1847,100327,2.33,2,1,1
573,1848,100327,3.0,2,0,1
574,1851,100327,2.0,3,1,1
575,1852,100328,2.67,4,4,3
576,1853,100328,3.0,3,1,2
577,1855,100328,2.33,2,1,2
578,1858,100329,3.0,2,2,1
579,1861,100329,1.67,1,1,1
580,1862,100330,1.33,4,2,2
581,1867,100331,3.0,2,2,1
582,1868,100331,2.67,4,1,3
583,1870,100331,2.67,3,1,3
584,1872,100332,3.0,2,1,0
585,1875,100334,2.0,3,1,2
586,1881,100335,2.67,4,2,2
587,1883,100335,1.67,3,0,1
588,1894,100337,3.0,5,5,5
589,1896,100337,3.0,3,2,3
590,1899,100337,2.67,2,1,1
591,1907,100339,3.0,1,1,1
592,1914,100341,2.33,1,0,0
593,1915,100342,3.0,2,2,2
594,1918,100342,2.33,2,1,1
595,1920,100342,2.67,2,1,2
596,1921,100343,3.0,3,3,3
597,1922,100343,2.67,4,3,4
598,1923,100343,2.33,2,1,2
599,1924,100343,2.33,3,1,2
600,1927,100343,3.0,5,1,5
601,1931,100343,2.33,3,2,3
602,1933,100343,2.33,3,2,3
603,1939,100344,3.0,1,1,0
604,1941,100345,1.0,3,0,1
605,1943,100345,2.33,3,2,2
606,1956,100349,3.0,2,2,1
607,1959,100350,3.0,3,2,2
608,1961,100350,2.33,3,2,0
609,1963,100351,2.67,2,0,0
610,1964,100351,2.0,3,1,2
611,1966,100351,1.0,3,0,0
612,1967,100352,2.0,3,1,1
613,1970,100352,2.0,4,1,1
614,1977,100354,1.33,2,0,1
615,1979,100354,2.33,3,0,2
616,1982,100354,1.33,3,1,2
617,1983,100354,2.0,3,1,3
618,1987,100355,3.0,2,2,1
619,1989,100356,1.67,2,0,1
620,1994,100356,2.0,2,0,2
621,1998,100357,2.33,3,2,3
622,2000,100357,2.0,3,2,2
623,2001,100357,2.67,7,2,5
624,2002,100357,2.33,4,3,3
625,2003,100357,2.0,2,1,1
626,2006,100357,2.0,5,1,3
627,2008,100357,2.33,4,4,2
628,2011,100358,2.33,4,2,2
629,2013,100358,3.0,2,1,2
630,2019,100359,1.0,2,0,0
631,2021,100359,2.33,2,0,1
632,2022,100359,2.0,4,2,4
633,2023,100359,1.67,3,1,3
634,2024,100359,1.0,2,0,0
635,2025,100360,2.0,2,1,1
636,2029,100361,1.0,2,0,0
637,2037,100364,2.33,2,2,2
638,2039,100365,2.67,2,2,2
639,2041,100365,2.33,3,2,2
640,2042,100365,1.67,2,0,0
641,2047,100367,3.0,2,1,2
642,2050,100368,2.0,3,2,1
643,2052,100368,2.67,3,1,1
644,2056,100368,2.75,2,1,2
645,2060,100368,1.67,2,1,0
646,2062,100370,2.0,2,0,0
647,2064,100370,2.0,2,0,0
648,2065,100370,1.67,2,0,0
649,2066,100370,2.33,3,1,1
650,2070,100370,2.67,2,2,2
651,2073,100370,2.67,3,2,2
652,2074,100370,2.67,2,0,0
653,2081,100373,2.67,2,2,2
654,2082,100373,2.0,2,1,2
655,2083,100373,2.33,3,2,3
656,2085,100374,2.67,3,2,3
657,2086,100374,3.0,2,2,2
658,2088,100374,1.0,4,2,2
659,2089,100374,1.0,3,0,1
660,2095,100375,2.33,2,0,0
661,2097,100376,3.0,3,3,3
662,2098,100376,3.0,5,3,3
663,2103,100378,1.67,3,0,0
664,2106,100378,1.5,5,0,0
665,2107,100378,3.0,2,2,2
666,2109,100379,3.0,3,3,3
667,2113,100380,3.0,3,1,2
668,2115,100380,2.33,3,1,2
669,2117,100380,3.0,2,0,1
670,2118,100380,2.33,4,1,2
671,2126,100381,3.0,2,2,2
672,2130,100383,2.33,3,2,1
673,2133,100383,2.33,3,2,1
674,2136,100383,2.0,3,1,2
675,2137,100383,2.33,2,1,0
676,2139,100384,1.33,4,2,3
677,2146,100384,1.67,3,1,2
678,2148,100384,2.33,2,1,1
679,2149,100385,3.0,2,2,2
680,2151,100385,2.67,2,1,1
681,2153,100386,1.33,2,0,1
682,2154,100386,3.0,1,1,1
683,2157,100386,1.67,4,1,2
684,2158,100387,2.67,1,1,1
685,2160,100388,1.33,3,1,0
686,2163,100388,3.0,2,2,0
687,2166,100388,1.67,3,2,1
688,2167,100388,2.0,3,2,1
689,2169,100388,2.0,5,4,1
690,2173,100388,3.0,3,3,1
691,2176,100388,3.0,2,1,0
692,2181,100390,2.67,5,2,4
693,2182,100390,3.0,3,3,3
694,2188,100390,3.0,4,3,4
695,2189,100390,3.0,4,2,4
696,2190,100390,2.33,4,2,3
697,2201,100393,1.0,3,0,0
698,2204,100393,1.0,2,0,0
699,2206,100393,2.0,1,1,1
700,2210,100395,1.0,3,1,1
701,2211,100395,2.67,2,2,2
702,2218,100395,3.0,2,0,1
703,2222,100397,2.33,2,1,1
704,2224,100397,3.0,2,1,2
705,2226,100398,2.0,5,3,4
706,2237,100399,2.67,2,1,2
707,2242,100401,2.67,3,2,2
708,2245,100401,3.0,2,1,2
709,2248,100403,2.33,2,1,1
710,2251,100403,2.33,2,2,2
711,2257,100405,3.0,4,4,4
712,2258,100405,3.0,4,4,4
713,2259,100405,3.0,3,2,3
714,2270,100407,1.67,3,2,2
715,2273,100407,2.33,3,1,1
716,2275,100407,3.0,1,0,0
717,2277,100407,2.67,3,2,2
718,2279,100408,1.33,4,1,2
719,2281,100408,1.0,3,1,2
720,2283,100408,2.0,3,1,2
721,2284,100409,1.33,6,2,2
722,2288,100409,2.33,3,1,2
723,2291,100409,2.67,2,0,0
724,2292,100409,3.0,2,0,0
725,2293,100409,2.33,2,0,1
726,2297,100409,2.67,2,0,1
727,2298,100409,2.33,3,1,2
728,2299,100409,2.0,2,1,1
729,2300,100409,2.33,2,0,0
730,2303,100409,2.0,2,0,0
731,2306,100409,1.67,3,0,1
732,2310,100409,3.0,3,1,2
733,2312,100409,2.67,3,1,2
734,2315,100409,2.33,2,0,1
735,2321,100410,2.67,4,2,2
736,2323,100410,3.0,2,1,2
737,2325,100410,2.67,3,2,2
738,2326,100410,2.33,4,2,2
739,2328,100410,1.67,3,2,2
740,2333,100410,2.33,5,2,2
741,2334,100410,2.67,3,0,3
742,2339,100410,3.0,3,3,3
743,2346,100411,1.67,2,0,0
744,2351,100412,1.67,3,1,1
745,2359,100413,1.0,4,0,3
746,2365,100414,2.67,2,0,1
747,2369,100415,2.0,3,1,2
748,2374,100417,2.0,3,2,2
749,2375,100417,2.67,5,3,4
750,2381,100417,3.0,2,2,2
751,2385,100418,3.0,2,0,1
752,2393,100418,3.0,3,0,1
753,2398,100420,2.67,3,2,2
754,2403,100423,2.33,2,0,1
755,2409,100423,1.67,5,1,3
756,2410,100423,3.0,2,1,1
757,2413,100423,3.0,3,2,2
758,2416,100423,2.33,3,0,2
759,2420,100424,3.0,4,3,3
760,2421,100425,2.67,2,0,1
761,2423,100425,2.67,3,1,1
762,2424,100425,1.0,1,0,1
763,2426,100425,2.67,3,0,3
764,2433,100427,2.33,2,1,1
765,2435,100427,2.0,2,2,2
766,2439,100428,2.0,2,1,1
767,2442,100428,2.67,2,2,2
768,2443,100428,1.67,3,2,2
769,2448,100429,3.0,3,1,2
770,2449,100429,1.33,2,0,0
771,2451,100429,2.67,3,1,1
772,2453,100429,2.67,3,0,1
773,2455,100429,3.0,2,0,2
774,2456,100429,3.0,3,1,2
775,2461,100430,2.67,2,1,1
776,2462,100430,2.67,1,1,1
777,2464,100430,2.33,3,2,3
778,2465,100430,3.0,2,1,1
779,2466,100430,3.0,2,1,1
780,2468,100431,2.0,1,1,1
781,2470,100431,2.33,4,2,3
782,2471,100431,2.67,2,1,1
783,2474,100431,2.67,2,1,1
784,2475,100431,3.0,3,1,3
785,2478,100433,3.0,2,0,1
786,2484,100434,3.0,1,1,1
787,2485,100435,2.67,3,1,2
788,2489,100436,2.33,5,1,4
789,2490,100437,3.0,3,3,2
790,2500,100440,3.0,1,1,1
