id,product_uid,relevance,len_of_query,word_in_title,word_in_description
241,100042,3.0,5,4,2
245,100042,2.33,5,4,4
255,100045,2.33,1,1,1
257,100046,2.0,2,1,1
259,100046,2.0,3,1,1
261,100046,2.33,4,2,2
266,100046,2.67,1,1,1
270,100046,1.67,5,2,4
272,100047,3.0,5,4,2
275,100047,2.33,2,2,2
276,100047,3.0,2,2,2
284,100049,2.0,3,2,3
290,100050,2.67,2,1,2
293,100051,3.0,2,1,1
294,100051,3.0,3,3,3
297,100051,2.33,1,0,0
305,100053,3.0,1,0,0
314,100054,3.0,2,2,1
318,100054,3.0,3,3,2
319,100054,2.67,2,2,2
323,100055,2.33,4,3,2
327,100055,3.0,3,2,2
331,100055,2.0,4,2,2
334,100055,2.67,2,2,2
335,100055,2.0,3,3,3
340,100056,1.33,2,0,0
341,100057,2.33,4,3,4
343,100057,2.33,2,1,2
346,100057,2.0,3,2,2
347,100057,1.33,2,2,2
350,100057,3.0,2,1,1
351,100058,3.0,2,1,0
354,100058,2.33,6,0,2
355,100058,3.0,2,1,1
359,100059,2.67,2,1,2
361,100060,2.33,2,1,1
363,100060,3.0,2,1,2
365,100060,2.33,1,1,1
373,100063,2.0,2,2,1
374,100063,2.67,2,1,1
375,100063,2.67,3,1,1
385,100064,2.67,2,0,0
389,100065,2.33,4,1,2
397,100065,1.33,3,0,0
400,100065,2.0,3,2,2
401,100065,2.33,4,4,4
402,100065,2.0,7,5,5
403,100065,2.67,5,2,4
407,100065,2.67,2,1,1
408,100065,2.33,2,1,1
411,100065,2.33,3,1,1
413,100065,1.33,4,1,1
418,100065,2.33,2,1,2
421,100065,2.67,3,2,2
422,100065,3.0,3,3,3
440,100068,2.33,5,3,3
444,100068,2.0,3,2,2
445,100068,1.67,2,2,2
446,100068,2.67,4,2,4
447,100068,3.0,4,3,4
452,100068,2.67,5,4,4
454,100068,3.0,4,4,4
455,100068,2.33,4,3,3
456,100068,3.0,3,2,2
458,100068,3.0,3,2,2
459,100068,1.67,3,2,2
461,100069,3.0,2,2,2
468,100070,3.0,3,3,3
469,100070,3.0,3,3,3
470,100070,2.33,5,3,4
473,100070,3.0,2,1,1
475,100071,2.33,2,1,1
476,100071,3.0,2,1,2
478,100071,3.0,3,3,3
479,100071,1.33,3,2,2
480,100072,1.67,4,3,2
481,100072,3.0,2,2,1
485,100074,3.0,1,0,0
491,100076,3.0,3,2,2
492,100077,1.67,6,1,3
497,100077,3.0,3,1,2
500,100078,2.67,3,2,2
501,100079,1.67,2,1,1
508,100081,2.33,9,4,2
511,100081,2.33,3,1,1
516,100082,3.0,2,2,2
517,100083,1.33,2,0,0
524,100086,2.0,3,2,2
533,100086,3.0,2,1,1
536,100087,2.0,3,1,2
542,100088,2.0,4,3,0
544,100089,3.0,1,1,1
549,100090,3.0,3,1,2
551,100090,3.0,3,2,2
557,100090,2.67,3,0,2
559,100090,2.33,3,0,2
562,100090,2.33,3,3,3
563,100090,2.67,4,2,3
568,100092,2.33,3,1,2
571,100092,1.67,2,1,2
572,100092,2.67,3,1,3
573,100092,2.67,1,0,0
576,100092,2.67,2,2,2
581,100093,3.0,3,3,3
582,100093,3.0,4,3,3
583,100093,2.67,4,3,3
584,100093,3.0,3,3,3
585,100094,3.0,3,2,2
591,100094,2.33,3,1,1
593,100094,1.33,4,3,3
595,100095,2.0,2,1,1
600,100095,3.0,3,3,3
605,100096,2.0,4,1,2
606,100096,2.67,3,1,1
611,100096,2.67,2,1,2
619,100097,2.33,6,4,5
626,100098,1.33,5,3,3
630,100100,3.0,2,2,2
634,100101,1.67,4,2,1
635,100101,3.0,2,2,2
636,100102,2.67,5,3,4
637,100102,2.0,3,2,1
640,100104,1.67,4,2,2
642,100104,2.33,5,5,4
643,100104,3.0,1,1,1
644,100105,2.67,3,2,2
646,100105,2.67,3,2,2
652,100105,2.33,6,3,4
653,100106,1.25,1,0,0
659,100108,2.33,1,0,0
660,100109,3.0,2,2,0
661,100109,3.0,2,2,1
662,100110,2.33,4,3,3
663,100110,2.67,2,2,2
666,100110,2.67,3,3,3
668,100110,2.67,2,1,2
669,100110,2.0,2,1,2
670,100111,3.0,3,2,2
671,100111,1.67,3,2,2
674,100112,2.0,4,2,4
677,100113,2.67,3,0,2
679,100114,3.0,2,2,2
680,100115,3.0,7,5,6
682,100115,2.0,2,1,2
686,100116,3.0,4,2,3
687,100116,3.0,3,2,2
688,100117,2.0,2,1,1
690,100118,2.67,2,1,1
691,100119,2.67,4,4,3
696,100119,1.0,3,1,1
700,100120,3.0,2,1,1
712,100124,3.0,2,2,2
713,100125,3.0,3,3,3
715,100125,2.33,3,3,3
718,100125,3.0,3,2,3
722,100125,2.33,4,2,2
726,100126,2.67,3,3,3
731,100127,2.33,2,2,2
734,100128,1.0,3,0,0
737,100128,3.0,1,0,0
739,100128,2.67,2,1,2
740,100128,2.67,2,1,1
742,100129,1.0,2,1,2
743,100129,3.0,1,1,1
745,100130,3.0,2,1,1
748,100131,1.67,3,2,3
749,100131,1.67,2,0,1
751,100131,2.0,3,1,2
753,100131,1.67,2,0,0
756,100132,3.0,1,1,1
758,100133,2.33,2,1,1
759,100133,3.0,2,0,0
760,100133,3.0,2,0,1
763,100134,2.67,4,2,3
764,100134,1.0,2,0,0
765,100134,1.67,2,0,1
771,100134,2.33,4,1,1
773,100134,1.33,5,0,0
778,100135,2.0,4,2,2
784,100138,3.0,3,3,3
787,100138,3.0,3,2,2
790,100138,1.67,2,1,1
791,100138,1.67,3,2,2
800,100138,3.0,2,2,2
801,100138,1.67,3,1,1
811,100140,2.33,3,0,1
812,100140,3.0,1,0,0
817,100141,2.0,1,0,0
818,100141,2.67,1,1,1
819,100141,1.67,2,1,1
824,100141,3.0,2,2,2
826,100141,3.0,2,2,1
828,100143,2.33,4,3,3
831,100143,3.0,3,3,3
832,100143,3.0,2,2,2
837,100143,3.0,4,3,3
843,100144,2.75,3,2,3
844,100144,2.0,3,1,2
847,100145,2.0,3,1,1
852,100146,2.0,4,3,2
857,100146,3.0,5,5,4
862,100148,3.0,3,3,3
867,100149,1.0,3,1,1
868,100149,1.67,3,2,2
869,100149,2.0,4,2,3
872,100149,2.0,8,4,4
876,100149,2.0,2,1,1
878,100149,2.33,4,2,2
881,100149,2.0,3,2,2
882,100149,2.0,4,2,2
885,100149,2.67,2,2,2
886,100149,1.67,6,0,2
893,100150,2.33,3,2,2
894,100150,3.0,2,0,0
895,100150,2.67,4,0,1
898,100150,2.33,1,1,1
899,100150,2.0,5,3,5
902,100151,3.0,3,1,3
908,100152,3.0,3,3,3
909,100152,2.0,3,2,2
910,100152,2.0,4,2,4
912,100152,1.0,3,0,0
918,100152,1.0,2,0,2
922,100153,2.67,2,2,2
923,100153,3.0,4,4,3
928,100153,2.0,2,0,0
929,100154,1.33,3,2,2
934,100154,2.67,3,2,2
940,100155,3.0,4,3,3
944,100157,3.0,2,0,0
954,100158,2.67,5,4,2
958,100158,3.0,3,3,2
962,100158,3.0,2,1,1
963,100158,2.33,3,1,0
969,100160,3.0,3,3,3
974,100161,2.33,1,0,0
978,100161,2.33,2,1,1
984,100163,2.0,3,2,2
991,100165,2.67,2,2,2
1000,100165,3.0,2,1,1
1001,100166,1.0,1,0,0
1004,100166,2.67,2,2,2
1007,100167,3.0,2,2,2
1008,100167,3.0,3,2,2
1019,100170,1.0,2,1,1
1020,100170,2.67,3,3,3
1022,100170,1.67,3,2,3
1026,100170,2.33,3,1,2
1028,100171,1.33,1,0,1
1031,100172,2.67,2,1,1
1038,100173,3.0,3,2,3
1040,100174,1.67,2,0,0
1051,100176,3.0,2,2,2
1053,100177,3.0,3,3,3
1056,100178,2.33,1,0,0
1060,100179,2.67,3,3,3
1062,100179,3.0,3,3,3
1065,100180,3.0,4,2,2
1068,100180,2.33,3,2,2
1072,100181,2.0,2,1,1
1073,100181,3.0,2,1,2
1074,100181,2.0,3,3,2
1076,100182,3.0,1,1,1
1080,100184,2.0,1,0,0
1081,100184,2.67,1,1,1
1083,100184,1.67,3,2,2
1084,100184,2.33,1,0,1
1086,100184,2.33,7,1,3
1090,100185,2.67,2,1,1
1095,100188,2.67,2,0,0
1097,100189,2.33,3,1,1
1098,100189,2.33,2,1,1
1101,100189,1.67,2,0,0
1103,100189,2.67,4,3,3
1104,100189,1.33,3,0,1
1107,100189,3.0,2,1,2
1108,100189,1.33,3,0,0
1116,100191,3.0,2,2,2
1121,100193,3.0,5,5,5
1128,100193,3.0,2,2,1
1129,100193,3.0,2,2,1
1132,100193,2.33,4,2,2
1134,100193,3.0,6,3,5
1135,100193,2.0,3,2,2
1138,100194,1.67,3,1,1
1142,100194,3.0,2,1,1
1145,100194,2.0,3,2,2
1146,100194,2.67,3,2,3
1148,100194,1.67,2,1,1
1151,100194,3.0,3,3,3
1155,100195,3.0,2,1,1
1159,100196,2.0,4,3,4
1164,100196,3.0,2,1,1
1165,100197,1.33,1,0,0
1168,100197,2.67,3,2,2
1171,100197,1.67,4,2,2
1172,100197,2.33,1,1,1
1176,100197,2.0,4,1,2
1177,100197,2.33,3,2,2
1180,100200,2.0,1,0,0
1185,100201,3.0,1,1,1
1191,100203,2.33,2,2,2
1192,100203,2.67,3,2,2
1195,100203,3.0,2,1,1
1196,100203,3.0,2,2,2
1205,100208,1.67,2,0,1
1206,100208,1.33,1,0,1
1208,100209,2.67,5,1,3
1212,100209,3.0,2,1,1
1215,100209,2.33,1,0,0
1216,100209,3.0,3,0,2
1218,100210,2.33,2,1,1
1220,100210,1.75,3,0,0
1224,100211,3.0,2,2,2
1227,100212,2.33,2,0,2
1228,100213,2.33,3,1,2
1230,100213,2.33,3,2,1
1231,100213,2.67,2,2,1
1237,100216,3.0,2,2,2
1238,100216,2.33,3,2,3
1243,100217,3.0,3,3,3
1248,100218,2.33,3,2,2
1252,100218,3.0,2,2,2
1253,100218,2.0,4,2,2
1257,100218,3.0,1,0,0
1266,100221,2.33,1,0,0
1267,100222,3.0,1,1,0
1273,100224,2.67,2,1,1
1275,100224,3.0,3,2,2
1276,100224,3.0,3,3,3
1279,100225,2.67,2,1,1
1287,100227,2.67,2,1,2
1289,100227,2.67,3,2,2
1291,100227,2.0,3,0,2
1296,100228,1.67,1,1,1
1300,100229,2.67,1,0,0
1302,100229,3.0,2,1,1
1303,100230,2.67,1,1,1
1316,100232,1.0,2,0,1
1317,100232,2.33,3,1,2
1320,100232,2.67,3,3,3
1323,100233,2.75,1,0,0
1326,100235,2.67,2,1,2
1335,100237,2.67,2,1,2
1338,100237,2.0,3,2,2
1340,100237,3.0,2,1,1
1344,100239,1.67,3,1,2
1345,100239,2.0,3,1,2
1347,100239,2.67,3,1,1
1348,100239,2.67,2,0,1
1349,100239,2.67,4,2,2
1355,100241,1.67,2,0,1
1356,100241,3.0,3,1,2
1357,100241,3.0,4,3,0
1359,100242,1.67,2,1,2
1364,100245,1.67,3,2,3
1366,100246,2.33,3,2,2
1377,100248,1.33,2,1,1
1387,100248,1.67,2,0,0
1388,100248,1.0,3,1,2
1394,100249,2.33,1,0,0
1395,100249,1.67,3,1,2
1397,100249,3.0,3,1,3
1399,100249,2.67,6,4,6
1401,100249,3.0,3,3,3
1403,100249,2.33,6,2,4
1405,100250,3.0,3,3,3
1408,100251,3.0,4,1,2
1414,100252,2.67,1,1,1
1419,100253,3.0,2,2,2
1422,100254,2.0,3,2,2
1427,100255,3.0,3,3,3
1431,100256,1.33,2,2,1
1433,100256,2.33,4,2,2
1434,100256,2.67,2,2,2
1436,100256,1.33,3,0,1
1439,100257,2.67,1,0,0
1443,100257,2.0,2,2,2
1444,100257,2.33,2,0,0
1449,100259,2.0,2,1,1
1453,100259,1.33,3,1,2
1454,100259,1.33,2,1,2
1458,100260,2.67,2,2,2
1468,100263,3.0,2,2,1
1471,100263,2.67,3,2,2
1472,100263,1.0,1,0,0
1473,100263,1.33,2,0,0
1479,100264,2.0,2,0,1
1481,100264,2.67,5,3,5
1483,100264,3.0,2,1,1
1486,100264,1.33,3,1,2
1487,100264,2.0,3,2,2
1490,100264,2.67,4,2,3
1491,100264,2.0,5,3,3
1492,100264,2.33,3,1,1
1496,100264,2.33,2,1,2
1497,100264,2.0,3,1,3
1501,100264,2.33,5,1,1
1504,100265,2.33,1,0,0
1506,100265,1.33,3,1,2
1509,100265,2.67,2,0,0
1512,100265,3.0,3,1,2
1528,100267,2.0,3,1,3
1538,100269,2.67,2,2,1
1542,100270,2.67,3,1,1
1546,100270,3.0,2,2,2
1548,100272,2.0,3,1,2
1554,100272,2.67,4,2,0
1560,100272,2.67,4,2,1
1561,100272,2.33,4,3,3
1562,100272,2.0,4,2,2
1568,100272,2.33,3,3,2
1569,100272,2.67,5,4,4
1571,100272,2.33,2,1,1
1572,100273,3.0,3,2,2
1576,100274,3.0,2,1,1
1577,100274,1.67,2,2,2
1578,100274,1.67,4,2,3
1587,100277,1.33,2,1,2
1588,100277,2.67,2,0,2
1593,100279,1.33,2,1,2
1595,100280,3.0,2,2,2
1609,100282,1.0,2,0,0
1610,100282,2.67,4,1,2
1612,100282,1.67,5,0,2
1616,100282,1.0,1,0,0
1617,100282,2.0,2,1,1
1622,100283,2.67,2,2,1
1624,100283,2.67,7,4,4
1627,100284,2.67,2,1,1
1633,100285,1.67,2,0,1
1634,100285,1.33,3,1,3
1637,100286,3.0,2,2,2
1640,100286,2.67,2,2,1
1643,100286,3.0,3,3,3
1645,100287,2.33,4,3,3
1647,100287,1.33,4,1,1
1648,100287,1.33,3,1,1
1653,100288,1.33,2,0,0
1654,100289,2.0,3,0,0
1655,100289,2.67,5,5,4
1656,100289,2.0,6,2,2
1657,100289,3.0,3,2,2
1661,100290,2.67,3,3,3
1664,100292,2.33,5,2,1
1667,100292,1.0,4,0,2
1669,100293,3.0,1,1,1
1670,100294,2.33,3,1,2
1671,100294,2.0,3,1,1
1672,100294,2.0,3,1,1
1673,100294,2.0,2,1,1
1675,100294,2.33,3,3,2
1677,100294,2.0,4,3,3
1681,100295,3.0,2,0,0
1691,100297,2.0,3,2,2
1692,100297,2.67,2,2,2
1696,100297,2.67,5,3,0
1702,100299,3.0,2,1,1
1703,100299,3.0,2,1,1
1704,100299,3.0,2,2,1
1705,100299,2.33,3,2,1
1713,100299,3.0,3,2,1
1715,100299,2.33,4,3,3
1721,100302,1.33,1,1,1
1722,100303,2.67,2,0,1
1724,100304,2.0,4,2,2
1726,100304,1.67,2,2,2
1731,100306,2.33,2,1,1
1733,100306,2.33,4,2,3
1738,100306,3.0,1,1,1
1740,100306,2.0,3,0,1
1741,100306,2.67,2,2,2
1742,100306,2.67,2,1,2
1746,100307,3.0,6,4,5
1749,100307,2.0,5,2,3
1753,100307,2.33,3,1,3
1762,100307,2.33,2,1,1
1765,100308,1.33,4,2,2
1771,100310,2.67,2,2,2
1774,100311,3.0,3,3,2
1777,100312,3.0,2,1,1
1779,100313,2.33,2,0,1
1780,100313,2.67,2,1,2
1782,100313,1.67,4,0,2
1784,100314,3.0,2,2,2
1785,100314,2.67,3,2,2
1786,100315,2.0,3,1,1
1790,100315,3.0,3,2,3
1797,100316,2.0,4,4,4
1804,100317,3.0,4,3,3
1805,100317,3.0,5,2,3
1811,100320,2.33,8,6,6
1815,100320,1.67,6,3,4
1816,100320,2.0,3,2,2
1818,100320,3.0,2,1,1
1821,100321,3.0,2,1,1
1824,100321,2.33,3,3,3
1829,100322,3.0,2,1,1
1830,100323,2.67,4,3,1
1835,100323,3.0,2,2,0
1841,100326,2.0,3,2,1
1844,100326,3.0,2,2,2
1845,100326,2.67,4,2,0
1846,100326,2.0,4,2,2
1847,100327,2.33,2,1,1
1848,100327,3.0,2,0,1
1851,100327,2.0,3,1,1
1852,100328,2.67,4,4,3
1853,100328,3.0,3,1,2
1855,100328,2.33,2,1,2
1858,100329,3.0,2,2,1
1861,100329,1.67,1,1,1
1862,100330,1.33,4,2,2
1867,100331,3.0,2,2,1
1868,100331,2.67,4,1,3
1870,100331,2.67,3,1,3
1872,100332,3.0,2,1,0
1875,100334,2.0,3,1,2
1881,100335,2.67,4,2,2
1883,100335,1.67,3,0,1
1894,100337,3.0,5,5,5
1896,100337,3.0,3,2,3
1899,100337,2.67,2,1,1
1907,100339,3.0,1,1,1
1914,100341,2.33,1,0,0
1915,100342,3.0,2,2,2
1918,100342,2.33,2,1,1
1920,100342,2.67,2,1,2
1921,100343,3.0,3,3,3
1922,100343,2.67,4,3,4
1923,100343,2.33,2,1,2
1924,100343,2.33,3,1,2
1927,100343,3.0,5,1,5
1931,100343,2.33,3,2,3
1933,100343,2.33,3,2,3
1939,100344,3.0,1,1,0
1941,100345,1.0,3,0,1
1943,100345,2.33,3,2,2
1956,100349,3.0,2,2,1
1959,100350,3.0,3,2,2
1961,100350,2.33,3,2,0
1963,100351,2.67,2,0,0
1964,100351,2.0,3,1,2
1966,100351,1.0,3,0,0
1967,100352,2.0,3,1,1
1970,100352,2.0,4,1,1
1977,100354,1.33,2,0,1
1979,100354,2.33,3,0,2
1982,100354,1.33,3,1,2
1983,100354,2.0,3,1,3
1987,100355,3.0,2,2,1
1989,100356,1.67,2,0,1
1994,100356,2.0,2,0,2
1998,100357,2.33,3,2,3
2000,100357,2.0,3,2,2
2001,100357,2.67,7,2,5
2002,100357,2.33,4,3,3
2003,100357,2.0,2,1,1
2006,100357,2.0,5,1,3
2008,100357,2.33,4,4,2
2011,100358,2.33,4,2,2
2013,100358,3.0,2,1,2
2019,100359,1.0,2,0,0
2021,100359,2.33,2,0,1
2022,100359,2.0,4,2,4
2023,100359,1.67,3,1,3
2024,100359,1.0,2,0,0
2025,100360,2.0,2,1,1
2029,100361,1.0,2,0,0
2037,100364,2.33,2,2,2
2039,100365,2.67,2,2,2
2041,100365,2.33,3,2,2
2042,100365,1.67,2,0,0
2047,100367,3.0,2,1,2
2050,100368,2.0,3,2,1
2052,100368,2.67,3,1,1
2056,100368,2.75,2,1,2
2060,100368,1.67,2,1,0
2062,100370,2.0,2,0,0
2064,100370,2.0,2,0,0
2065,100370,1.67,2,0,0
2066,100370,2.33,3,1,1
2070,100370,2.67,2,2,2
2073,100370,2.67,3,2,2
2074,100370,2.67,2,0,0
2081,100373,2.67,2,2,2
2082,100373,2.0,2,1,2
2083,100373,2.33,3,2,3
2085,100374,2.67,3,2,3
2086,100374,3.0,2,2,2
2088,100374,1.0,4,2,2
2089,100374,1.0,3,0,1
2095,100375,2.33,2,0,0
2097,100376,3.0,3,3,3
2098,100376,3.0,5,3,3
2103,100378,1.67,3,0,0
2106,100378,1.5,5,0,0
2107,100378,3.0,2,2,2
2109,100379,3.0,3,3,3
2113,100380,3.0,3,1,2
2115,100380,2.33,3,1,2
2117,100380,3.0,2,0,1
2118,100380,2.33,4,1,2
2126,100381,3.0,2,2,2
2130,100383,2.33,3,2,1
2133,100383,2.33,3,2,1
2136,100383,2.0,3,1,2
2137,100383,2.33,2,1,0
2139,100384,1.33,4,2,3
2146,100384,1.67,3,1,2
2148,100384,2.33,2,1,1
2149,100385,3.0,2,2,2
2151,100385,2.67,2,1,1
2153,100386,1.33,2,0,1
2154,100386,3.0,1,1,1
2157,100386,1.67,4,1,2
2158,100387,2.67,1,1,1
2160,100388,1.33,3,1,0
2163,100388,3.0,2,2,0
2166,100388,1.67,3,2,1
2167,100388,2.0,3,2,1
2169,100388,2.0,5,4,1
2173,100388,3.0,3,3,1
2176,100388,3.0,2,1,0
2181,100390,2.67,5,2,4
2182,100390,3.0,3,3,3
2188,100390,3.0,4,3,4
2189,100390,3.0,4,2,4
2190,100390,2.33,4,2,3
2201,100393,1.0,3,0,0
2204,100393,1.0,2,0,0
2206,100393,2.0,1,1,1
2210,100395,1.0,3,1,1
2211,100395,2.67,2,2,2
2218,100395,3.0,2,0,1
2222,100397,2.33,2,1,1
2224,100397,3.0,2,1,2
2226,100398,2.0,5,3,4
2237,100399,2.67,2,1,2
2242,100401,2.67,3,2,2
2245,100401,3.0,2,1,2
2248,100403,2.33,2,1,1
2251,100403,2.33,2,2,2
2257,100405,3.0,4,4,4
2258,100405,3.0,4,4,4
2259,100405,3.0,3,2,3
2270,100407,1.67,3,2,2
2273,100407,2.33,3,1,1
2275,100407,3.0,1,0,0
2277,100407,2.67,3,2,2
2279,100408,1.33,4,1,2
2281,100408,1.0,3,1,2
2283,100408,2.0,3,1,2
2284,100409,1.33,6,2,2
2288,100409,2.33,3,1,2
2291,100409,2.67,2,0,0
2292,100409,3.0,2,0,0
2293,100409,2.33,2,0,1
2297,100409,2.67,2,0,1
2298,100409,2.33,3,1,2
2299,100409,2.0,2,1,1
2300,100409,2.33,2,0,0
2303,100409,2.0,2,0,0
2306,100409,1.67,3,0,1
2310,100409,3.0,3,1,2
2312,100409,2.67,3,1,2
2315,100409,2.33,2,0,1
2321,100410,2.67,4,2,2
2323,100410,3.0,2,1,2
2325,100410,2.67,3,2,2
2326,100410,2.33,4,2,2
2328,100410,1.67,3,2,2
2333,100410,2.33,5,2,2
2334,100410,2.67,3,0,3
2339,100410,3.0,3,3,3
2346,100411,1.67,2,0,0
2351,100412,1.67,3,1,1
2359,100413,1.0,4,0,3
2365,100414,2.67,2,0,1
2369,100415,2.0,3,1,2
2374,100417,2.0,3,2,2
2375,100417,2.67,5,3,4
2381,100417,3.0,2,2,2
2385,100418,3.0,2,0,1
2393,100418,3.0,3,0,1
2398,100420,2.67,3,2,2
2403,100423,2.33,2,0,1
2409,100423,1.67,5,1,3
2410,100423,3.0,2,1,1
2413,100423,3.0,3,2,2
2416,100423,2.33,3,0,2
2420,100424,3.0,4,3,3
2421,100425,2.67,2,0,1
2423,100425,2.67,3,1,1
2424,100425,1.0,1,0,1
2426,100425,2.67,3,0,3
2433,100427,2.33,2,1,1
2435,100427,2.0,2,2,2
2439,100428,2.0,2,1,1
2442,100428,2.67,2,2,2
2443,100428,1.67,3,2,2
2448,100429,3.0,3,1,2
2449,100429,1.33,2,0,0
2451,100429,2.67,3,1,1
2453,100429,2.67,3,0,1
2455,100429,3.0,2,0,2
2456,100429,3.0,3,1,2
2461,100430,2.67,2,1,1
2462,100430,2.67,1,1,1
2464,100430,2.33,3,2,3
2465,100430,3.0,2,1,1
2466,100430,3.0,2,1,1
2468,100431,2.0,1,1,1
2470,100431,2.33,4,2,3
2471,100431,2.67,2,1,1
2474,100431,2.67,2,1,1
2475,100431,3.0,3,1,3
2478,100433,3.0,2,0,1
2484,100434,3.0,1,1,1
2485,100435,2.67,3,1,2
2489,100436,2.33,5,1,4
2490,100437,3.0,3,3,2
2500,100440,3.0,1,1,1
2502,100441,2.33,9,3,4
2507,100442,1.67,1,1,0
2513,100444,3.0,3,2,3
2514,100444,3.0,2,2,2
2515,100444,2.33,3,3,3
2516,100445,2.67,2,2,2
2534,100446,2.67,3,2,2
2535,100446,1.67,7,5,5
2538,100446,3.0,3,3,3
2539,100446,3.0,3,3,3
2540,100447,3.0,2,2,2
2545,100448,2.67,4,3,3
2551,100448,2.33,4,2,3
2555,100450,2.67,7,4,4
2556,100450,3.0,3,2,2
2562,100451,1.67,5,1,2
2571,100455,2.33,2,2,2
2575,100457,3.0,2,2,2
2578,100457,3.0,2,1,1
2581,100458,2.0,3,2,2
2582,100458,2.0,2,1,1
2585,100458,3.0,2,0,0
2592,100459,3.0,2,2,2
2598,100461,2.33,6,6,6
2604,100461,2.0,3,2,2
2605,100461,2.67,3,2,2
2608,100461,2.33,4,2,4
2616,100461,3.0,4,4,4
2617,100461,3.0,3,2,2
2621,100461,1.33,5,3,4
2622,100462,2.0,3,2,2
2626,100462,3.0,3,3,3
2627,100462,2.33,2,1,0
2628,100462,2.67,3,3,2
2636,100463,2.67,4,0,3
2642,100464,2.33,2,2,1
2643,100464,2.0,2,2,2
2654,100466,2.0,3,2,2
2657,100466,1.0,1,0,0
2660,100466,2.67,3,2,1
2662,100466,2.67,4,1,2
2666,100468,3.0,3,1,3
2669,100468,2.67,3,1,1
2670,100468,3.0,3,2,2
2671,100468,2.0,3,2,2
2672,100468,2.0,5,2,3
2673,100468,2.33,5,2,3
2675,100468,3.0,3,3,3
2677,100468,2.33,4,1,2
2680,100468,2.0,3,1,1
2685,100468,2.67,4,3,3
2686,100468,2.33,1,1,1
2688,100468,2.33,1,1,1
2691,100468,3.0,2,1,2
2695,100469,2.67,3,2,2
2696,100469,2.67,3,2,2
2697,100470,2.67,4,3,4
2698,100470,2.33,3,2,2
2700,100470,2.67,2,1,2
2704,100471,2.0,4,2,1
2708,100471,2.0,3,0,1
2709,100472,2.67,4,3,3
2710,100472,1.33,3,2,3
2712,100472,3.0,3,3,3
2715,100474,3.0,2,2,2
2725,100477,2.0,4,3,3
2728,100477,2.33,2,1,1
2729,100477,2.33,2,2,1
2733,100478,2.33,3,0,3
2735,100478,1.67,2,0,2
2736,100478,3.0,2,1,2
2737,100478,3.0,2,1,2
2741,100479,3.0,3,2,3
2744,100479,3.0,1,1,1
2750,100480,1.33,4,1,1
2752,100480,2.33,4,2,2
2755,100480,2.33,3,2,2
2758,100481,3.0,3,2,3
2768,100483,3.0,3,3,3
2777,100485,3.0,1,1,1
2782,100486,2.33,3,0,0
2784,100487,2.67,3,3,3
2785,100487,2.33,3,2,2
2786,100487,3.0,3,2,1
2787,100487,3.0,3,3,3
2791,100488,3.0,2,0,2
2796,100489,2.33,4,3,1
2798,100489,2.33,4,4,3
2800,100489,2.67,3,3,2
2802,100489,2.0,6,4,1
2808,100490,3.0,3,2,2
2816,100492,1.0,2,0,0
2818,100492,2.33,2,1,1
2820,100492,3.0,3,2,2
2823,100494,3.0,3,3,3
2826,100496,2.33,3,1,2
2831,100497,3.0,3,2,3
2833,100498,2.0,4,2,4
2834,100498,1.67,3,1,3
